UID,SEG,translation,profanity
METALW-037797-0006,arrepentido. Tampoco hay delfín volador,repentant. There's no flying dolphin either.,None
METALW-037797-0007,Ugh. No sé qué conseguir ahora. Pepperoni está bien supongo...,Ugh. I don't know what to get now. Pepperoni is fine I guess...,None
METALW-037797-0008,Eso es lo que tenemos. ¿Qué tamaño de pizza?,That's what we got. What size pizza?,None
METALW-037797-0009,Extra Grande por favor.,Extra Big please.,None
METALW-037797-0010,¿Quieres que se entregue?,You want him to turn himself in?,None
METALW-037797-0011,"Sí, por favor.","Yes, please.",None
METALW-037798-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037798-0001,ayúdame a pedir pizza,help me order pizza,None
METALW-037798-0002,¿Te gustaría medio o grande?,Would you like half or big?,None
METALW-037798-0003,Quiero un medio,I want a medium,None
METALW-037798-0004,¿Qué ingredientes te gustaría?,What ingredients would you like?,None
METALW-037798-0005,Quiero anchoas,I want anchovies,None
METALW-037798-0006,Siento que todos estemos sin anchoas.,I'm sorry we're all out of anchovies.,None
METALW-037798-0007,vamos a hacer piña entonces,let's do pineapple then,None
METALW-037798-0008,También nos queríamos sin piña.,We also loved each other without pineapple.,None
METALW-037798-0009,¿Qué tienes?,What do you got?,None
METALW-037798-0010,peperoni.,pepperoni.,None
METALW-037799-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037799-0001,Me gustaría conseguir algunas pizzas calientes slamming por mi guzzle lo antes posible,I'd like to get some hot slamming pizzas for my guzzle as soon as possible,None
METALW-037799-0002,¿Qué te gustaría en tus pizzas?,What would you like in your pizzas?,None
METALW-037799-0003,"Estoy pensando que me gustaría un poco de salmón Un poco de piña, y pepperoni","I'm thinking I'd like some salmon a little pineapple, and pepperoni",None
METALW-037799-0004,"Lo siento, no tenemos salmón.","I'm sorry, we don't have salmon.",None
METALW-037799-0005,"Vergüenza, qué otros peces tienes","Shame, what other fish you have",None
METALW-037799-0006,No tenemos coberturas de peces.,We don't have fish toppings.,None
METALW-037799-0007,zurcir,mend,None
METALW-037799-0008,Además de anchoas.,In addition to anchovies.,None
METALW-037799-0009,Haré anchoas,I'll make anchovies,None
METALW-037799-0010,"Anchoas, piña y pepperoni? ¿De qué tamaño te gustaría eso?","Anchovies, pineapple and pepperoni? How size would you like that?",None
METALW-037799-0011,Dos grandes por favor,Two big ones please,None
METALW-037800-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037800-0001,"Me gustaría una gran pizza fina corteza anchoas. También me gustaría un pequeño plato profundo con cebollas Finalmente, me woud como","I'd like a great thin anchovy crust pizza. I would also like a deep little dish with onions Finally, I woud as",None
METALW-037800-0002,"Claro, ¿cuántas pizzas quieres","Sure, how many pizzas do you want",None
METALW-037800-0003,Una hamburguesa de mano mediana. Esos tres,A medium-handed burger. Those three,None
METALW-037800-0004,Ok un momento y trabajaré en este orden,Okay a moment and I'll work on this order,None
METALW-037800-0005,Thx,Thx,None
METALW-037800-0006,¿Será entrega o realo a cabo?,Will it be delivery or real out?,None
METALW-037800-0007,D por favor,D please,None
METALW-037800-0008,"La cantidad total es de $25.46, ¿quieres seguir adelante con el pedido?","The total amount is $25.46, do you want to go ahead with the order?",None
METALW-037800-0009,Sí. Póngalo en la tarjeta registrada.,Yes. Put it on the registered card.,None
METALW-037800-0010,"El pedido se ha realizado, recibirá la entrega en 30-45 minutos","The order has been placed, you will receive delivery in 30-45 minutes",None
METALW-037801-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037801-0001,qué tipo de pizza quieren,what kind of pizza they want,None
METALW-037801-0002,¿Qué tipo de pizza quieres?,What kind of pizza do you want?,None
METALW-037801-0003,¿qué tipo de especiales te hacen que ofrece 3 coberturas,what kind of specials make you offer 3 coverages,None
METALW-037801-0004,Tenemos 3 pizza mediana con tres ingredientes fro $5 cada uno,We have 3 medium pizza with three ingredients fro $5 each,None
METALW-037801-0005,ok me gustaría cebollas pimientos verdes y pepperoni en ellos,ok I'd like onions green peppers and pepperoni on them,None
METALW-037801-0006,"Siento haber salido pepperoni, pero tenemos salchichas","I'm sorry I came out pepperoni, but we have sausages",None
METALW-037801-0007,ok iii tomar la salchicha en lugar de los pepperoni,ok iii take the sausage instead of the pepperoni,None
METALW-037801-0008,"bien, tres pizza medianas que vienen. ¿Quieres un trago?","well, three medium pizzas coming. Would you like a drink?",None
METALW-037801-0009,"no gracias, pero me gustaría cambiar las cebollas a aceitunas","no thanks, but I'd like to change the onions to olives",None
METALW-037801-0010,Siento que nos quedemos sin aceitunas,I'm sorry we run out of olives.,None
METALW-037801-0011,ok puedes cancelar mi pedido,ok you can cancel my order,None
METALW-037801-0012,de acuerdo gracias,"all right, thank you",None
METALW-037802-0000,¡hola! ¿Puedo ayudarle a realizar su pedido?,Hello! Can I help you place your order?,None
METALW-037802-0001,Me gustaría pedir una pizza,I'd like to order a pizza,None
METALW-037802-0002,¿Qué te gustaría pedir?,What would you like to order?,None
METALW-037802-0003,Me gustaría una pizza grande con champiñones de pollo y aceitunas verdes,I'd like a big pizza with chicken mushrooms and green olives,None
METALW-037802-0004,"Lo siento, no tenemos setas en este momento.","I'm sorry, we don't have mushrooms right now.",None
METALW-037802-0005,"Bien, entonces vamos a ir con aceitunas verdes de pollo y pimientos rojos asados","Well, then let's go with green chicken olives and roasted red peppers",None
METALW-037802-0006,"Excelente. Así que una pizza grande con pollo, aceitunas verdes y pimientos rojos asados. ¿Es eso cierto?","excellent. So a big pizza with chicken, green olives and roasted red peppers. Is that true?",None
METALW-037802-0007,Sí en corteza fina,Yes in thin bark,None
METALW-037802-0008,Bien. ¿Eso completa tu pedido?,Not bad. Does that complete your order?,None
METALW-037802-0009,"Sí, muchas gracias","Yes, thank you very much",None
METALW-037802-0010,Su pedido ha sido realizado. Gracias.,Your order has been placed. Thank you.,None
METALW-037803-0000,pizzero,Pizza,None
METALW-037803-0001,qué tipo de ofertas están disponibles para hoy,what kind of offers are available for today,None
METALW-037803-0002,dos ofertas disponibles,two offers available,None
METALW-037803-0003,ofertas de lista para tres pizzas de cobertura,list offers for three topping pizzas,None
METALW-037803-0004,dos pizzas de tres coberturas por el precio de una tres pizzas de tres coberturas por el precio de dos ofertas finales,two three-topping pizzas for the price of a three-topping three-pizzas for the price of two final offers,None
METALW-037803-0005,Quiero la primera para dos pizzas de tres coberturas,I want the first one for two three-topping pizzas,None
METALW-037803-0006,especificar ingredientes para la primera pizza,specify ingredients for the first pizza,None
METALW-037803-0007,"pepperoni, sasuage, tocino canadiense","pepperoni, sasuage, Canadian bacon",None
METALW-037803-0008,lo siento salchicha actualmente no está disponible seleccionar cobertura alternativa,sorry sausage is currently not available select alternative coverage,None
METALW-037803-0009,pollo a la parrilla estará bien,grilled chicken will be fine,None
METALW-037803-0010,sustituyendo a los segundos ingredientes de pizza de pollo por favor,replacing the second ingredients of chicken pizza please,None
METALW-037803-0011,¡Gracias!,Thank you!,None
METALW-037804-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037804-0001,Quiero pedir una pizza enorme,I want to order a huge pizza,None
METALW-037804-0002,Puedo ayudarte a pedir una pizza. ¿Qué tamaño le gustaría grande o extra grande?,I can help you order a pizza. How big would you like large or extra large?,None
METALW-037804-0003,Gigantesco gigantesco,Gigantic gigantic,None
METALW-037804-0004,"Ok, una pizze extra grande. ¿Qué tipo de ingredientes te gustaría en esa pizza?","Okay, an extra-large pizze. What kind of ingredients would you like in that pizza?",None
METALW-037804-0005,"Quiero pepperoni, salchichas y oreos","I want pepperoni, sausages and oreos",None
METALW-037804-0006,"Eso suena genial, pero actualmente no tenemos oreos disponibles como opción de cobertura. ¿Te gustaría hacer ese pedido sólo con salchichas y pepperoni, o te gustaría añadir algo más?","That sounds great, but we don't currently have oreos available as a coverage option. Would you like to place that order only with sausages and pepperoni, or would you like to add something else?",None
METALW-037804-0007,¿Tienes pimientos?,Do you have peppers?,None
METALW-037804-0008,"Claro, tengo pimientos verdes como opción o pimientos jalapeños. ¿Qué te gustaría?","Sure, I have green peppers as an option or jalapeno peppers. What would you like?",None
METALW-037804-0009,Jalapeño,Jalapeño,None
METALW-037804-0010,"Ok, así que tengo una pizza extra grande con Jalapenos, pepperoni y salchichas. ¿Es eso correcto?","Okay, so I have an extra big pizza with Jalapenos, pepperoni and sausages. Is that correct?",None
METALW-037804-0011,Sí,Yes,None
METALW-037804-0012,Seguiré adelante y pondré ese pedido para ti ahora mismo. Deberías conseguirlo en 30 minutos.,I'll go ahead and put that order on for you right now. You should get it in 30 minutes.,None
METALW-037805-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037805-0001,Estoy buscando información sobre un restaurante.,I'm looking for information about a restaurant.,None
METALW-037805-0002,"Claro, ¿de qué restaurante te gustaría información?","Sure, which restaurant would you like information about?",None
METALW-037805-0003,La pizzería. ¿Sabes si tienen pepinillos de eneldo disponibles como cobertura?,The pizzeria. Do you know if they have dill pickles available as cover?,None
METALW-037805-0004,Los pepinillos de eneldo no están disponibles como cobertura,Dill pickles are not available as cover,None
METALW-037805-0005,Es una pena. ¿Qué tal tocino?,It's a shame. How about bacon?,None
METALW-037805-0006,El tocino tampoco está disponible como cobertura,Bacon is also not available as cover,None
METALW-037805-0007,¿peperoni?,pepperoni?,None
METALW-037805-0008,Pepperoni tampoco está disponible,Pepperoni is also not available,None
METALW-037805-0009,"Sheesh, supongo que tendré que ir a otro restaurante. Gracias por la información!","Sheesh, I guess I'll have to go to another restaurant. Thanks for the information!",None
METALW-037805-0010,¡No hay problema! ¿Puedo ayudarle a encontrar un restaurante de pizza diferente?,No problem! Can I help you find a different pizza restaurant?,None
METALW-037805-0011,"No, gracias.",No thanks.,None
METALW-037805-0012,¡Que tengas un gran día!,Have a great day!,None
METALW-037806-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037806-0001,Me gustaría pedir una pizza,I'd like to order a pizza,None
METALW-037806-0002,¿De dónde quieres pedir la pizza?,Where do you want to order the pizza?,None
METALW-037806-0003,mi dominó más cercano,my nearest dominoes,None
METALW-037806-0004,¿Qué tipo de pizza quieres?,What kind of pizza do you want?,None
METALW-037806-0005,¿Tienes piña?,Do you have pineapple?,None
METALW-037806-0006,Se les acabara la piña,They'll run out of pineapple.,None
METALW-037806-0007,¿Qué tal salami?>,How's salami?>,None
METALW-037806-0008,¿Te gustaría una pizza grande con cobertura de salami?,Would you like a big pizza with salami topping?,None
METALW-037806-0009,"¡Sí, eso suena bien!","Yes, that sounds good!",None
METALW-037806-0010,"Bien, si pongo esto en tu Visa puede estar ahí en 30 minutos ¿suena bien?","Well, if I put this on your Visa, it can be there in 30 minutes, does that sound good?",None
METALW-037806-0011,¡Sí!,Yes!,None
METALW-037807-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037807-0001,Quiero saber si ciertos ingredientes están disponibles,I want to know if certain ingredients are available,None
METALW-037807-0002,¿Qué tipo de pizza le gustaría pedir fina corteza gruesa corteza sartén pizza y qué tamaño,What kind of pizza would you like to order thin thick crust crust crust pan pizza and what size,None
METALW-037807-0003,Medio de corteza delgada,Thin bark medium,None
METALW-037807-0004,Qué ingredientes te gustaría en tu pizza,What ingredients you'd like in your pizza,None
METALW-037807-0005,jamón,ham,None
METALW-037807-0006,Siento que nos quedemos sin jamón,I'm sorry we run out of ham.,None
METALW-037807-0007,¿Tienes pepperoni disponible?,Do you have pepperoni available?,None
METALW-037807-0008,"Sí, tenemos pepperoni","Yes, we have pepperoni",None
METALW-037807-0009,¿Qué hay de salchichas?,What about sausages?,None
METALW-037807-0010,"Sí, tenemos salchichas","Yes, we have sausages",None
METALW-037808-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037808-0001,Hola necesito pedir una pizza,Hi I need to order a pizza,None
METALW-037808-0002,¿Qué te gustaría en tu pizza?,What would you like on your pizza?,None
METALW-037808-0003,Necesito piña Pepperoni y aceituna por favor,I need Pepperoni pineapple and olive please,None
METALW-037808-0004,"Lo siento, pero la aceituna no está disponible","I'm sorry, but the olive is not available",None
METALW-037808-0005,"bien, tomar pimienta verde en su lugar","well, take green pepper instead",None
METALW-037808-0006,Bien,Not bad,None
METALW-037808-0007,Suena bien,Sounds good,None
METALW-037808-0008,Su total es de 14$,His total is $14,None
METALW-037808-0009,"Oh, no tengo tanto cuánto obtendo por 10","Oh, I don't have that much to get for 10",None
METALW-037808-0010,"no hay problema, su cliente número 100 por lo que es gratis","no problem, your customer number 100 so it's free",None
METALW-037809-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037809-0001,¿Puedes ayudarme a pedir una pizza?,Can you help me order a pizza?,None
METALW-037809-0002,Claro,Of course,None
METALW-037809-0003,"Me gustaría pedir tres pizzas grandes, una de cobertura","I'd like to order three big pizzas, one for topping",None
METALW-037809-0004,Seguro que cuáles son las coberturas en cada,I'm sure what the coverages are in each,None
METALW-037809-0005,"¿Puedo conseguir una pizza con jalapeños, otra con piña y otra con jamón?","Can I get one pizza with jalapeños, another with pineapple and another with ham?",None
METALW-037809-0006,Sí,Yes,None
METALW-037809-0007,Eso es todo por favor,That's it please.,None
METALW-037809-0008,recogida o equipaje de mano?,pick-up or carry-on baggage?,None
METALW-037809-0009,"Lo recogeré, ¿cuánto tiempo tomará?","I'll pick it up, how long will it take?",None
METALW-037809-0010,5 minutos,5 minutes,None
METALW-037809-0011,gracias,Thank you,None
METALW-037810-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037810-0001,Necesito ayuda,I need help,None
METALW-037810-0002,¿Cómo puedo ayudarle?,How can I help you?,None
METALW-037810-0003,Me gustaría pedir pizza,I'd like to order pizza,None
METALW-037810-0004,¿Qué clase de pizza?,What kind of pizza?,None
METALW-037810-0005,¿Me recomendarías algo?,Would you recommend something?,None
METALW-037810-0006,Hawaiano o Pepperoni ?,Hawaiian or Pepperoni ?,None
METALW-037810-0007,Ambos necesito 5 pizzas 2 para hawaiano y 3 para pepperoni,I both need 5 pizzas 2 for Hawaiian and 3 for pepperoni,None
METALW-037810-0008,De acuerdo. ¿Quieres coberturas adicionales?,I agree. Want additional coverage?,None
METALW-037810-0009,Eso sería todo. ¿Cuánto cuesta?,That would be it. How much does it cost?,None
METALW-037810-0010,$5 dólares,$5,None
METALW-037810-0011,"De acuerdo, gracias","All right, thank you.",None
METALW-037811-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037811-0001,Estoy deseando pizza esta noche.,I'm looking forward to pizza tonight.,None
METALW-037811-0002,¿Desea pedir?,Would you like to order?,None
METALW-037811-0003,Delicia hawaiana con coberturas de pepperoni.,Hawaiian delight with pepperoni toppings.,None
METALW-037811-0004,"Lo sentimos, la cobertura no está disponible","Sorry, coverage is not available",None
METALW-037811-0005,¿Estás seguro?,Are you sure?,None
METALW-037811-0006,Sí. coberturas adicionales no están disponibles a partir del momento,Yes. additional coverages are not available from the moment,None
METALW-037811-0007,¿Puedes volver a comprobarlo?,Can you check it again?,None
METALW-037811-0008,no está disponible,it's not available,None
METALW-037811-0009,Vale.,Ok.,None
METALW-037811-0010,Eres bienvenido,You're welcome,None
METALW-037812-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037812-0001,Necesito ayuda para hacer un pedido de pizzas,I need help ordering pizzas.,None
METALW-037812-0002,¡ciertamente! Puedo ayudarte con tu pedido de pizza. ¿Será entrega o recogida?,certainly! I can help you with your pizza order. Will it be delivery or pickup?,None
METALW-037812-0003,recogida,pickup,None
METALW-037812-0004,"Muy bien, camioneta. ¿Qué tamaño de pizza le gustaría pedir?","All right, truck. What size pizza would you like to order?",None
METALW-037812-0005,"Quiero un pedido de 3 pizzas. Un queso grande, pepperoni grande y pizza de piña pequeña","I want an order for 3 pizzas. A large cheese, large pepperoni and small pineapple pizza",None
METALW-037812-0006,"¡Bien! Hacer un pedido de tres pizzas, un queso grande, pepperoni grande y pizza de piña pequeña, ¿es cierto?","Not bad! Order three pizzas, a big cheese, big pepperoni and small pineapple pizza, is it true?",None
METALW-037812-0007,correcto,correct,None
METALW-037812-0008,¡Bien! ¿Debo cargar su tarjeta de crédito registrada?,Not bad! Do I need to charge your registered credit card?,None
METALW-037812-0009,"Sí, por favor aplíquelo a mi visa registrada","Yes, please apply it to my registered visa",None
METALW-037812-0010,ciertamente. Estás listo. disfrutar,certainly. Are you ready. enjoy,None
METALW-037813-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037813-0001,ayúdame a pedir 3 pizzas diferentes,help me order 3 different pizzas,None
METALW-037813-0002,¿Qué tipo de pizzas?,What kind of pizzas?,None
METALW-037813-0003,grande,big,None
METALW-037813-0004,¿Qué ingredientes te gustaría?,What ingredients would you like?,None
METALW-037813-0005,primero uno puso pepperoni,first one put pepperoni,None
METALW-037813-0006,¿Segundo?,second?,None
METALW-037813-0007,Sólo quiero queso,I just want cheese.,None
METALW-037813-0008,¿Y el tercero?,What about the third one?,None
METALW-037813-0009,sólo piña,just pineapple,None
METALW-037813-0010,¡La orden será puesta!,The order will be placed!,None
METALW-037814-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037814-0001,Necesito pedir algunas pizzas,I need to order some pizzas,None
METALW-037814-0002,Sí. ¿Cuál es el tamaño de la pizza?,Yes. What's the size of the pizza?,None
METALW-037814-0003,Necesito 3 pizzas grandes cada una con ingredientes diferentes,I need 3 big pizzas each with different ingredients,None
METALW-037814-0004,pizza grande cuesta $10. ¿Cuáles serían los ingredientes?,Big pizza costs $10. What would be the ingredients?,None
METALW-037814-0005,"Primero es el queso, luego el pepperoni y por último los amantes de la carne","First it's the cheese, then the pepperoni and finally the meat lovers",None
METALW-037814-0006,"lo siento, pero los amantes de la carne coberturas no está disponible a partir del momento","i'm sorry, but meat lovers toppings are not available from the moment",None
METALW-037814-0007,"Ok, ¿puedes hacer que sea un pepperoni también","Okay, can you make it a pepperoni too",None
METALW-037814-0008,bien anotado. que sería $30 por 3 cajas de pizza grande,well-scored. that would be $30 for 3 boxes of big pizza,None
METALW-037814-0009,¡Bien! ¡gracias!,Not bad! Thank you!,None
METALW-037814-0010,de nada,You are welcome,None
METALW-037815-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037815-0001,Quiero pedir pizza,I want to order pizza,None
METALW-037815-0002,¿Qué tipo de pizza quieres pedir?,What kind of pizza do you want to order?,None
METALW-037815-0003,hawaiano con cebollas extra,Hawaiian with extra onions,None
METALW-037815-0004,Desafortunadamente nos quedan cebollas.,Unfortunately we have onions left.,None
METALW-037815-0005,¿qué ingredientes están disponibles?,What ingredients are available?,None
METALW-037815-0006,¡Todos los demás ingredientes!,All other ingredients!,None
METALW-037815-0007,añadir xtra chesse,add xtra chesse,None
METALW-037815-0008,¡Considéralo hecho!,Consider it done!,None
METALW-037815-0009,gracias,Thank you,None
METALW-037815-0010,¡De nada!,You are welcome!,None
METALW-037816-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037816-0001,Quiero pedir una pizza,I want to order a pizza,None
METALW-037816-0002,¿De qué tamaño?,What size?,None
METALW-037816-0003,grande,big,None
METALW-037816-0004,¿Qué corteza style?,What style bark?,None
METALW-037816-0005,Me gustaría una corteza de peluche doble con queso americano.,I'd like a double stuffed bark with American cheese.,None
METALW-037816-0006,Puedo hacer eso. ¿Qué te gustaría encima de tu pizza?,I can do that. What would you like on top of your pizza?,None
METALW-037816-0007,Quiero saber si tienes carne de delfín como cobertura.,I want to know if you have dolphin meat as cover.,None
METALW-037816-0008,Lo siento. No tenemos eso como una opción de cobertura.,I am sorry. We don't have that as a coverage option.,None
METALW-037816-0009,"Bueno, tendré que conformarme con pepperoni y sasuage en su lugar.","Well, I'll have to settle for pepperoni and sasuage instead.",None
METALW-037816-0010,Suena sabroso. He hecho tu pedido. Nos vemos en 30 minutos,Sounds tasty. I made your order. See you in 30 minutes,None
METALW-037817-0000,"Hola, ¿en qué puedo ayudarte?","Hi, how can I help you?",None
METALW-037817-0001,Hola me gustaría pedir una pizza gigante Hello pizza bot?,Hello I would like to order a giant pizza Hello pizza bot?,None
METALW-037817-0002,¡hola! ¿Qué ingredientes te gustaría?,Hello! What ingredients would you like?,None
METALW-037817-0003,¿Tienes pepperoni?,Do you have pepperoni?,None
METALW-037817-0004,¡Desafortunadamente nos quedan sin pepperoni!,Unfortunately we're out of pepperoni!,None
METALW-037817-0005,¿Qué hay de las setas?,What about mushrooms?,None
METALW-037817-0006,¡Tenemos mucho!,We've got a lot!,None
METALW-037817-0007,Bien dame una pizza gigante con champiñones,Well give me a giant pizza with mushrooms,None
METALW-037817-0008,"¡Suena bien! Serán $1,000,000. ¿Recogida o entrega?","Sounds good! It'll be $1, 000, 000. Pick-up or drop-off?",None
METALW-037817-0009,recogida,pickup,None
METALW-037817-0010,"¡Genial, nos vemos pronto!","Great, I'll see you soon!",None
METALW-037818-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037818-0001,Hola,Hello,None
METALW-037818-0002,ayúdame a pedir una pizza,help me order a pizza,None
METALW-037818-0003,Seguro que no hing,I'm sure he doesn't hing.,None
METALW-037818-0004,Necesito una pizza mediana,I need a medium pizza,None
METALW-037818-0005,¿Por cuántos pedidos?,How many orders?,None
METALW-037818-0006,sólo 1 persona,only 1 person,None
METALW-037818-0007,Orden se ha hecho por $10,Order has been made for $10,None
METALW-037818-0008,¿Tienes piña?,Do you have pineapple?,None
METALW-037818-0009,"Sí, ¿nos gustaría añadir?","Yes, would we like to add?",None
METALW-037818-0010,añadirlo a mis ingredientes,add it to my ingredients,None
METALW-037818-0011,Esto se nota.,You can tell this.,None
METALW-037819-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037819-0001,¿Qué tipo de cobertura de pizza está disponible?,What kind of pizza coverage is available?,None
METALW-037819-0002,"¡Hola! Puedo pedir pizza con cualquier cobertura, ¿qué te gustaría?","Hello! I can order pizza with any coverage, what would you like?",None
METALW-037819-0003,Quiero una pizza con queso extra y sostener la salsa de tomate,I want a pizza with extra cheese and hold the tomato sauce,None
METALW-037819-0004,"Revisar los lugares de pizza alrededor de su ubicación Desafortunadamente, la pizza hut más cercana a su ubicación no ofrece el cobertura ""queso extra""","Review the pizza spots around your location Unfortunately, the hut pizza closest to your location does not offer the ""extra cheese"" coverage",None
METALW-037819-0005,"Bien, entonces ponles osos gomosos.","Well, then give them gummy bears.",None
METALW-037819-0006,"Comprobando encontré un lugar que ofrece el cobertura ""osos gomosos"" para pizza. Su 3 millas de distancia. ¿Te gustaría elegir esa?","Checking I found a place that offers the ""gummy bears"" coverage for pizza. Its 3 miles away. Would you like to pick that one?",None
METALW-037819-0007,Sí,Yes,None
METALW-037819-0008,¡Bien! En contacto con Papa Johns...,Not bad! Contact Papa Johns...,None
METALW-037819-0009,mejores ingredientes mejor pizza Papa Johns,best ingredients best papa Johns pizza,None
METALW-037819-0010,¡De acuerdo! ¿Quieres algo más que una pizza grande de oso gomoso de Papa Johns?,I agree! You want more than just a big Papa Johns gummy bear pizza?,None
METALW-037819-0011,Un refresco grande,A large soda,None
METALW-037819-0012,"Está bien, agregó. ¿Eso completará tu pedido?","All right, he added. Will that complete your order?",None
METALW-037819-0013,Sí,Yes,None
METALW-037819-0014,"Suena bien, su pedido está hecho!","Sounds good, your order is made!",None
METALW-037819-0015,gracias,Thank you,None
METALW-037820-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037820-0001,Necesito pedir una pizza,I need to order a pizza,None
METALW-037820-0002,¿Tienes algún sabor de pizza en mente? have,Do you have any pizza flavor in mind? have,None
METALW-037820-0003,"Cebolla, jamón y tocino","Onion, ham and bacon",None
METALW-037820-0004,"Lo siento, pero el jamón no está disponible en este momento.","I'm sorry, but the ham isn't available right now.",None
METALW-037820-0005,¿Qué tal queso extra?,How about extra cheese?,None
METALW-037820-0006,tenemos queso. ¿Cuántas pizzas pedirás?,we have cheese. How many pizzas will you order?,None
METALW-037820-0007,Sólo un pequeño.,Just a little one.,None
METALW-037820-0008,¿Alguna cobertura extra que quieras añadir?,Any extra coverage you want to add?,None
METALW-037820-0009,No. eso es todo. Estaré allí en 15 minutos,No. That's all. I'll be there in 15 minutes.,None
METALW-037820-0010,"Bien, se hará después de 15 minutos","Well, it'll be done after 15 minutes",None
METALW-037821-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037821-0001,Estoy de humor para una pizza. ¿Puedes ayudarme a comenzar una pizzería en Pizza Mondo?,I'm in the mood for a pizza. Can you help me start a pizzeria at Pizza Mondo?,None
METALW-037821-0002,"Ciertamente, ¿qué tamaño pizza le gustaría pedir","Certainly, what pizza size would you like to order",None
METALW-037821-0003,Quiero una pizza grande con tres ingredientes,I want a big pizza with three ingredients,None
METALW-037821-0004,Bien. ¿Cuáles son esos ingredientes,Not bad. What are those ingredients,None
METALW-037821-0005,"Pizza Mondo tiene hamburguesa, maíz y salchichas en su menú>","Pizza Mondo has hamburger, corn and sausages on its menu>",None
METALW-037821-0006,Hamburger no está disponible actualmente en este momento,Hamburger is not currently available at this time,None
METALW-037821-0007,"Bien, entonces haz de esto una pizza con maíz, salchichas y cebollas extra por favor","Well, then make this a pizza with corn, sausages and extra onions please",None
METALW-037821-0008,"¡Bien! Reservando pedido de pizza grande con maíz, salchichas y cebollas adicionales.","Not bad! Booking large pizza order with corn, sausages and additional onions.",None
METALW-037821-0009,Gracias.,Thank you.,None
METALW-037821-0010,¡seguro! ETA está a 45 minutos,sure! ETA is 45 minutes away,None
METALW-037822-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037822-0001,Hola. Necesito pedir tres pizzas.,Hello. I need to order three pizzas.,None
METALW-037822-0002,¡Claro! ¿De qué tamaño serán las pizzas?,Of course! How big will pizzas be?,None
METALW-037822-0003,"Todo grande. Uno con espinacas y champiñones, otro con salchicha y piña, y otro con aceitunas negras y champiñones.","It's all big. One with spinach and mushrooms, one with sausage and pineapple, and one with black olives and mushrooms.",None
METALW-037822-0004,El total de esas 3 pizzas será de $28.75. ¿Quieres que siga adelante y haga la orden para ti?,The total of those 3 pizzas will be $28.75. You want me to go ahead and make the order for you?,None
METALW-037822-0005,"Sí, por favor.","Yes, please.",None
METALW-037822-0006,¿Quieres entrega o recogida?,Do you want delivery or pickup?,None
METALW-037822-0007,Puedo recogerlos. Me llamo Reeves.,I can pick them up. My name is Reeves.,None
METALW-037822-0008,"Ok, he hecho tu pedido de pizza para ti. Debe estar listo en aproximadamente 25 minutos.","Okay, I made your pizza order for you. It should be ready in about 25 minutes.",None
METALW-037822-0009,Bien. Hasta luego.,Not bad. See you later.,None
METALW-037822-0010,¡Disfruta de tu pizza!,Enjoy your pizza!,None
METALW-037823-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037823-0001,Quiero pedir pizza.,I want to order pizza.,None
METALW-037823-0002,¿Cuántos?,How many?,None
METALW-037823-0003,3,3,None
METALW-037823-0004,y los ingredientes?,and the ingredients?,None
METALW-037823-0005,¿Está disponible pepperoni con chocolate?,Is pepperoni with chocolate available?,None
METALW-037823-0006,indisponible.,unavailable.,None
METALW-037823-0007,Eso es desafortunado. ¿Qué tal Bacon con piña?,That's unfortunate. How about Bacon and pineapple?,None
METALW-037823-0008,no disponible también.,not available as well.,None
METALW-037823-0009,Sólo salta los ingredientes entonces.,Just skip the ingredients then.,None
